UT,AB
WOS:000401981500009,"We disaggregate the self-employed into incorporated and unincorporated to distinguish between ""entrepreneurs"" and other business owners. We show that the incorporated self-employed and their businesses engage in activities that demand comparatively strong nonroutine cognitive abilities, while the unincorporated and their firms perform tasks demanding relatively strong manual skills. People who become incorporated business owners tend to be more educated and-as teenagers-score higher on learning aptitude tests, exhibit greater self-esteem, and engage in more illicit activities than others. The combination of ""smart"" and ""illicit"" tendencies as youths accounts for both entry into entrepreneurship and the comparative earnings of entrepreneurs. Individuals tend to experience a material increase in earnings when becoming entrepreneurs, and this increase occurs at each decile of the distribution."
WOS:000371602500005,"Performance pay for tax collectors has the potential to raise revenues, but might come at a cost if it increases the bargaining power of tax collectors vis-A -vis taxpayers. We report the first large-scale field experiment on these issues, where we experimentally allocated 482 property tax units in Punjab, Pakistan, into one of three performance pay schemes or a control. After two years, incentivized units had 9.4 log points higher revenue than controls, which translates to a 46% higher growth rate. The scheme that rewarded purely on revenue did best, increasing revenue by 12.9 log points (64% higher growth rate), with little penalty for customer satisfaction and assessment accuracy compared to the two other schemes that explicitly also rewarded these dimensions. The revenue gains accrue from a small number of properties becoming taxed at their true value, which is substantially more than they had been taxed at previously. The majority of properties in incentivized areas in fact pay no more taxes, but instead report higher bribes. The results are consistent with a collusive setting in which performance pay increases collectors' bargaining power over taxpayers, who have to either pay higher bribes to avoid being reassessed or pay substantially higher taxes if collusion breaks down."
WOS:000875748600001,"Can political rallies affect the behavior of law enforcement officers toward racial minorities? Using data from 35 million traffic stops, we show that the probability that a stopped driver is Black increases by 5.74% after a Trump rally during his 2015-2016 campaign. The effect is immediate, specific to Black drivers, lasts for up to 60 days after the rally, and is not justified by changes in driver behavior. The effects are significantly larger among law enforcement officers whose estimated racial bias is higher at baseline, in areas that score higher on present-day measures of racial resentment, those that experienced more racial violence during the Jim Crow era, and in former slave-holding counties. Mentions of racial issues in Trump speeches, whether explicit or implicit, exacerbate the effect of a Trump rally among officers with higher estimated racial bias."
WOS:000864359300001,"In many economic decisions, people estimate probabilities, such as the likelihood that a risk materializes or that a job applicant will be a productive employee, by retrieving experiences from memory. We model this process based on two established regularities of selective recall: similarity and interference. We show that the similarity structure of a hypothesis and the way it is described (not just its objective probability) shape the recall of experiences and thus probability assessments. The model accounts for and reconciles a variety of empirical findings, such as overestimation of unlikely events when these are cued versus neglect of noncued ones, the availability heuristic, the representativeness heuristic, conjunction and disjunction fallacies, and over- versus underreaction to information in different situations. The model yields several new predictions, for which we find strong experimental support."
WOS:000763959600001,"I offer an axiomatization of risk models where the choices of the decision maker are correlation sensitive. By extending the techniques of conjoint measurement to the nondeterministic case, I show that transitivity is the von Neumann-Morgenstern axiom that has to be relaxed to allow for these richer patterns of behavior. To illustrate the advantages of the modeling choice, we provide a simple axiomatization for the salience theory model in our general framework. This approach leads to clear comparison to popular preexisting models, such as regret and reference dependence, and allows one to single out the ordering property as the feature that brings salience theory outside the prospect theory realm."
WOS:000612198000009,"Communication facilitates cooperation by ensuring that deviators are collectively punished. We explore how players might misuse communication to threaten one another, and we identify ways that organizations can deter misuse and restore cooperation. In our model, a principal plays trust games with a sequence of short-run agents who communicate with each other. An agent can shirk and then extort pay by threatening to report that the principal deviated. We show that these threats can completely undermine cooperation. Investigations of agents' efforts, or dyadic relationships between the principal and each agent, can deter extortion and restore some cooperation. Investigations of the principal's action, on the other hand, typically do not help. Our analysis suggests that collective punishments are vulnerable to misuse unless they are designed with an eye toward discouraging it.Y"
WOS:000593217300010,"Equilibria and optima generally differ in imperfectly competitive markets. Although this is well understood theoretically, it is unclear how large the welfare distortions are in the aggregate economy. Do they matter quantitatively? To answer this question, we develop a multisector monopolistic competition model with endogenous firm entry and selection, productivity, and markups. Using French and UK data, we quantify the gap between the equilibrium and optimal allocations. We find that inefficiencies in the labor allocation and entry between sectors, as well as inefficient selection and output per firm within sectors, generate welfare losses of about 6%-10% of GDP."
WOS:000593217300004,"This article studies the impact of changing job skills on career earnings dynamics for college graduates. We measure changes in the skill content of occupations between 2007 and 2019 using detailed job descriptions from a near universe of online job postings. We then develop a simple model where the returns to work experience are a race between on-the-job learning and skill obsolescence. Obsolescence lowers the return to experience, flattening the age-earnings profile in faster-changing careers. We show that the earnings premium for college graduates majoring in technology-intensive subjects such as computer science, engineering, and business declines rapidly, and that these graduates sort out of faster-changing occupations as they gain experience."
WOS:000544015700007,"We study optimal spatial policies in a quantitative trade and geography framework with spillovers and spatial sorting of heterogeneous workers. We characterize the spatial transfers that must hold in efficient allocations, as well as labor subsidies that can implement them. There exists scope for welfare-enhancing spatial policies even when spillovers are common across locations. Using data on U.S. cities and existing estimates of the spillover elasticities, we find that the U.S. economy would benefit from a reallocation of workers to currently low-wage cities. The optimal allocation features a greater share of high-skill workers in smaller cities relative to the observed allocation. Inefficient sorting may lead to substantial welfare costs."
WOS:000507362800008,"We develop a model of social learning from complementary information: short-lived agents sequentially choose from a large set of flexibly correlated information sources for prediction of an unknown state, and information is passed down across periods. Will the community collectively acquire the best kinds of information? Long-run outcomes fall into one of two cases: (i) efficient information aggregation, where the community eventually learns as fast as possible; (ii) ""learning traps,"" where the community gets stuck observing suboptimal sources and information aggregation is inefficient. Our main results identify a simple property of the underlying informational complementarities that determines which occurs. In both regimes, we characterize which sources are observed in the long run and how often."
WOS:000489163400010,"Can access to a few hundred dollars of liquidity affect the career choice of a recent college graduate? In a three-year field experiment with Teach For America (TFA), a prestigious teacher placement program, we randomly increase the financial packages offered to nearly 7,300 potential teachers who requested support for the transition into teaching. The first two years of the experiment reveal that although most applicants do not respond to a marginal $600 of grants or loans, those in the worst financial position respond by joining TFA at higher rates. We continue the experiment into the third year and self-replicate our results. For the highest-need applicants, an extra $600 in loans, $600 in grants, and $1,200 in grants increase the likelihood of joining TFA by 12.2, 11.4, and 17.1 percentage points (or 20.0%, 18.7%, and 28.1%), respectively. Additional grant and loan dollars are equally effective, suggesting a liquidity mechanism. A follow-up survey bolsters the liquidity story and also shows that those drawn into teaching would have otherwise worked in private-sector firms. JEL Codes: I21, J22, J45, J62, J68."
WOS:000451280400007,"We present new evidence on the evolution of black-white earnings differences among all men, including both workers and nonworkers. We study two measures: (i) the level earnings gap-the racial earnings difference at a given quantile; and (ii) the earnings rank gap-the difference between a black man's percentile in the black earnings distribution and the position he would hold in the white earnings distribution. After narrowing from 1940 to the mid-1970s, the median black-white level earnings gap has since grown as large as it was in 1950. At the same time, the median black man's relative position in the earnings distribution has remained essentially constant since 1940, so that the improvement then worsening of median relative earnings have come mainly from the stretching and narrowing of the overall earnings distribution. Black men at higher percentiles have experienced significant advances in relative earnings since 1940, due mainly to strong positional gains among those with college educations. Large relative schooling gains by blacks at the median and below have been more than counteracted by rising return to skill in the labor market, which has increasingly penalized remaining racial differences in schooling at the bottom of the distribution."
WOS:000412764300004,"What shapes the optimal degree of progressivity of the tax and transfer system? On the one hand, a progressive tax system can counteract inequality in initial conditions and substitute for imperfect private insurance against idiosyncratic earnings risk. On the other hand, progressivity reduces incentives to work and to invest in skills, distortions that are especially costly when the government must finance public goods. We develop a tractable equilibrium model that features all of these trade-offs. The analytical expressions we derive for social welfare deliver a transparent understanding of how preference, technology, and market structure parameters influence the optimal degree of progressivity. A calibration for the U.S. economy indicates that endogenous skill investment, flexible labor supply, and the desire to finance government purchases play quantitatively similar roles in limiting optimal progressivity. In a version of the model where poverty constrains skill investment, optimal progressivity is close to the U.S. value. An empirical analysis on cross-country data offers support to the theory."
WOS:000365535400008,"Twenty-five large field experiments with major U.S. retailers and brokerages, most reaching millions of customers and collectively representing $2.8 million in digital advertising expenditure, reveal that measuring the returns to advertising is difficult. The median confidence interval on return on investment is over 100 percentage points wide. Detailed sales data show that relative to the per capita cost of the advertising, individual-level sales are very volatile; a coefficient of variation of 10 is common. Hence, informative advertising experiments can easily require more than 10 million person-weeks, making experiments costly and potentially infeasible for many firms. Despite these unfavorable economics, randomized control trials represent progress by injecting new, unbiased information into the market. The inference challenges revealed in the field experiments also show that selection bias, due to the targeted nature of advertising, is a crippling concern for widely employed observational methods."
WOS:000346660500009,"This article investigates the role of mass media in times of conflict and state-sponsored mass violence against civilians. We use a unique village-level data set from the Rwandan genocide to estimate the impact of a popular radio station that encouraged violence against the Tutsi minority population. The results show that the broadcasts had a significant effect on participation in killings by both militia groups and ordinary civilians. An estimated 51,000 perpetrators, or approximately 10% of the overall violence, can be attributed to the station. The broadcasts increased militia violence not only directly by influencing behavior in villages with radio reception but also indirectly by increasing participation in neighboring villages. In fact, spillovers are estimated to have caused more militia violence than the direct effects. Thus, the article provides evidence that mass media can affect participation in violence directly due to exposure and indirectly due to social interactions."
WOS:001051517900001,"By constraining an individual's choice during a search, housing discrimination distorts sorting decisions away from true preferences and results in a ceteris paribus reduction in welfare. This study combines a large-scale field experiment with a residential sorting model to derive utility-theoretic measures of renter welfare loss associated with the constraints imposed by discrimination in the rental housing market. Results from experiments conducted in five cities show that key neighborhood amenities are associated with higher levels of discrimination. Counterfactual simulations based on the sorting model suggest that discrimination imposes damages equivalent to 4.4% and 3.5% of the annual incomes for African American and Hispanic/Latinx renters, respectively. Damages are increasing in income for African American renters, such that effects become stronger for economically mobile households. Renters of color must make substantial investments in additional search to mitigate the costs of these constraints. We find that a naive model ignoring discrimination constraints yields biased estimates of willingness to pay for key neighborhood amenities."
WOS:000813230500001,"We use a field experiment to study price discrimination in a market with price posting and negotiation. Motivated by concerns that low-income consumers do poorly in markets with privately negotiated prices, we built a call center staffed with actors armed with bargaining scripts to reveal negotiated prices and their determinants. Our actors implement sequential bargaining games under incomplete information in the field. By experimentally manipulating how information is revealed, we generate sequences of price offers that allow us to identify price discrimination in negotiations based on retailer perceptions of consumers' search and switching costs. We also document differences in price distributions between entrants and incumbents, reflecting differences in captivity of their respective consumer bases. Finally, we show that higher prices paid by lower-income subsidy recipients in our market is not due to discriminatory targeting; they can be explained by variation in consumer willingness and ability to search and bargain."
WOS:000770415300001,"We document a nationwide ""assessment gap"" that leads local governments to place a disproportionate fiscal burden on racial and ethnic minorities. We show that holding taxing jurisdictions and property tax rates fixed, Black and Hispanic residents face a 10%-13% higher tax burden for the same bundle of public services. We decompose this disparity into between- and within-neighborhood components and find that just over half of it arises between neighborhoods. We then present evidence on mechanisms. Property assessments are less sensitive to neighborhood attributes than market prices are. This generates spatial variation in tax burden within jurisdiction and leads to overtaxation of communities with a high share of minority residents. We also find appeals behavior and appeals outcomes differ by race within neighborhood. Inequality does not arise from (i) racial differences in transaction prices or (ii) differences in features of the housing stock."
WOS:000642334600005,"How does unemployment insurance (UI) affect unemployed workers' search behavior? Search models predict that until benefit exhaustion, UI depresses job search effort and increases reservation wages. Over an unemployment spell, search effort should increase up to benefit exhaustion and stay high thereafter. Meanwhile, reservation wages should decrease up to benefit exhaustion and stay low thereafter. To test these predictions, we link administrative registers to data on job search behavior from a major online job search platform in France. We follow over 400,000 workers, as long as they remain unemployed. We analyze the changes in search behavior around benefits exhaustion and take two steps to isolate the individual response to unemployment benefits. First, our longitudinal data allows us to correct for changes in sample composition over the spell. Second, we exploit data on workers eligible for 12-24 months of UI as well as workers ineligible for UI, to control for behavior changes over the unemployment spell that are independent of UI. Our results confirm the predictions of search models. We find that search effort (the number of job applications) increases by at least 50% during the year preceding benefits exhaustion and remains high thereafter. The target monthly wage decreases by at least 2.4% during the year preceding benefits exhaustion and remains low thereafter. In addition, we provide evidence for duration dependence: workers decrease the wage they target by 1.5% over each year of unemployment, irrespective of their UI status."
WOS:000672777600011,"The urban poor in developing countries face challenging living environments, which may interfere with good sleep. Using actigraphy to measure sleep objectively, we find that low-income adults in Chennai, India, sleep only 5.5 hours a night on average despite spending 8 hours in bed. Their sleep is highly interrupted, with sleep efficiency-sleep per time in bed-comparable to those with disorders such as sleep apnea or insomnia. A randomized three-week treatment providing information, encouragement, and improvements to home sleep environments increased sleep duration by 27 minutes a night by inducing more time in bed. Contrary to expert predictions and a large body of sleep research, increased nighttime sleep had no detectable effects on cognition, productivity, decision making, or well being, and led to small decreases in labor supply. In contrast, short afternoon naps at the workplace improved an overall index of outcomes by 0.12 standard deviations, with significant increases in productivity, psychological well-being, and cognition, but a decrease in work time."
WOS:000642334600008,"The labor share in U.S. manufacturing declined from 61% in 1967 to 41% in 2012. The labor share of the typical U.S. manufacturing establishment, in contrast, rose by over 3 percentage points during the same period. Using micro-level data, we document five salient facts: (i) since the 1980s, there has been a dramatic reallocation of value added toward the lower end of the labor share distribution; (ii) this aggregate reallocation is not due to entry/exit, to ""superstars"" growing faster, or to large establishments lowering their labor shares, but is instead due to units whose labor share fell as they grew in size; (iii) low labor share (LL) establishments benefit from high revenue labor productivity, not low wages; (iv) they also enjoy a product price premium relative to their peers; and (v) they have only temporarily lower labor shares that rebound after five to eight years. This transient pattern has become more pronounced over time, and the dynamics of value added and employment are increasingly disconnected. Taken together, we interpret these facts as pointing to a significant role for demand-side forces."
WOS:000593217300002,"This article provides evidence from a fragile state that citizens demand more of a voice in the government when it tries to Lax them. 1 examine a field experiment randomizing property tax collection across 356 neighborhoods of a large Congolese city. The tax campaign was the first time most citizens had been registered by the state or asked to pay formal taxes. It raised property tax compliance from 0.1% in control to 11.6% in treatment. It also increased political participation by about 5 percentage points (31%): citizens in taxed neighborhoods were more likely to attend town hall meetings hosted by the government or submit evaluations of its performance. To participate in these ways, the average citizen incurred costs equal to their daily household income, and treated citizens spent 43% more than control. Treated citizens also positively updated about the provincial government, perceiving more revenue, less leakage, and a greater responsibility to provide public goods. The results suggest that broadening the tax base has a ""participation dividend,"" a key idea in historical accounts of the emergence of inclusive governance in early modern Europe and a common justification for donor support of tax programs in weak states."
WOS:000544017700007,"We construct publicly available statistics on parents' incomes and students' earnings outcomes for each college in the United States using deidentified data from tax records. These statistics reveal that the degree of parental income segregation across colleges is very high, similar to that across neighborhoods. Differences in postcollege earnings between children from low- and high-income families are much smaller among students who attend the same college than across colleges. Colleges with the best earnings outcomes predominantly enroll students from high-income families, although a few mid-tier public colleges have both low parent income levels and high student earnings. Linking these income data to SAT and ACT scores, we simulate how changes in the allocation of students to colleges affect segregation and intergenerational mobility. Equalizing application, admission, and matriculation rates across parental income groups conditional on test scores would reduce segregation substantially, primarily by increasing the representation of middle-class students at more selective colleges. However, it would have little effect on the fraction of low-income students at elite private colleges because there are relatively few students from low-income families with sufficiently high SAT/ACT scores. Differences in parental income distributions across colleges could be eliminated by giving low- and middle-income students a sliding-scale preference in the application and admissions process similar to that implicitly given to legacy students at elite private colleges. Assuming that 80% of observational differences in students' earnings conditional on test scores, race, and parental income are due to colleges' causal effects-a strong assumption, but one consistent with prior work-such changes could reduce intergenerational income persistence among college students by about 25%. We conclude that changing how students are allocated to colleges could substantially reduce segregation and increase intergenerational mobility, even without changing colleges' educational programs."
WOS:000544017700001,"We conduct a comparative welfare analysis of 133 historical policy changes over the past half-century in the United States, focusing on policies in social insurance, education and job training, taxes and cash transfers, and in-kind transfers. For each policy, we use existing causal estimates to calculate the benefit that each policy provides its recipients (measured as their willingness to pay) and the policy's net cost, inclusive of long-term effects on the government's budget. We divide the willingness to pay by the net cost to the government to form each policy's Marginal Value of Public Funds, or its ""MVPF"". Comparing MVPFs across policies provides a unified method of assessing their effect on social welfare. Our results suggest that direct investments in low-income children's health and education have historically had the highest MVPFs, on average exceeding 5. Many such policies have paid for themselves as the government recouped the cost of their initial expenditures through additional taxes collected and reduced transfers. We find large MVPFs for education and health policies among children of all ages, rather than observing diminishing marginal returns throughout childhood. We find smaller MVPFs for policies targeting adults, generally between 0.5 and 2. Expenditures on adults have exceeded this MVPF range in particular if they induced large spillovers on children. We relate our estimates to existing theories of optimal government policy, and we discuss how the MVPF provides lessons for the design of future research."
WOS:000544017700005,"We provide evidence that financial market risk perceptions are important drivers of economic fluctuations. We introduce a novel measure of risk perceptions: the price of volatile stocks (PVSt), defined as the book-to-market ratio of low-volatility stocks minus the book-to-market ratio of high-volatility stocks. PVSt is high when perceived risk directly measured from surveys and option prices is low. Using our measure, we show that high perceived risk is associated with low risk-free interest rates, a high cost of capital for risky firms, and future declines in output and real investment. Perceived risk as measured by PVSt falls after positive macroeconomic news. These declines are predictably followed by upward revisions in perceived risk, indicating that fluctuations in investor risk perceptions are not fully rational."
WOS:000451280400005,"This article estimates workers' preferences for firms by studying the structure of employer-to-employer transitions in U.S. administrative data. The article uses a tool from numerical linear algebra to measure the central tendency of worker flows, which is closely related to the ranking of firms revealed by workers' choices. There is evidence for compensating differentials when workers systematically move to lower-paying firms in a way that cannot be accounted for by layoffs or differences in recruiting intensity. The estimates suggest that compensating differentials account for over half of the firm component of the variance of earnings."
WOS:000401981500010,"We initiate the study of naivete-based discrimination, the practice of conditioning offers on external information about consumers' naivete. Knowing that a consumer is naive increases a monopolistic or competitive firm's willingness to generate inefficiency to exploit the consumer's mistakes, so naivete-based discrimination is not Pareto-improving, can be Pareto-damaging, and often lowers total welfare when classical preference-based discrimination does not. Moreover, the effect on total welfare depends on a hitherto unemphasized market feature: the extent to which the exploitation of naive consumers distorts trade with different types of consumers. If the distortion is homogeneous across naive and sophisticated consumers, then under an arguably weak and empirically testable condition, naivete-based discrimination lowers total welfare. In contrast, if the distortion arises only for trades with sophisticated consumers, then perfect naivete-based discrimination maximizes social welfare, although imperfect discrimination often lowers welfare. If the distortion arises only for trades with naive consumers, then naivete-based discrimination has no effect on welfare. We identify applications for each of these cases. In our primary example, a credit market with present-biased borrowers, firms lend more than is socially optimal to increase the amount of interest naive borrowers unexpectedly pay, creating a homogeneous distortion. The condition for naivete-based discrimination to lower welfare is then weaker than prudence."
WOS:000388576700005,"We present a model of stereotypes based on Kahneman and Tversky's representativeness heuristic. A decision maker assesses a target group by overweighting its representative types, defined as the types that occur more frequently in that group than in a baseline reference group. Stereotypes formed this way contain a ""kernel of truth"": they are rooted in true differences between groups. Because stereotypes focus on differences, they cause belief distortions, particularly when groups are similar. Stereotypes are also context dependent: beliefs about a group depend on the characteristics of the reference group. In line with our predictions, beliefs in the lab about abstract groups and beliefs in the field about political groups are context dependent and distorted in the direction of representative types."
WOS:000383326100008,"Does the lack of wealth constrain parents' investments in the human capital of their descendants? We conduct a nearly 50-year follow-up of an episode in which such constraints would have been plausibly relaxed by a random allocation of substantial wealth to families. We track descendants of participants in Georgia's Cherokee Land Lottery of 1832, in which nearly every adult white male in the state took part. Winners received close to the median level of wealth-a large financial windfall orthogonal to participants' underlying characteristics that might have also affected their children's human capital. Although winners had slightly more children than did nonwinners, they did not send them to school more. Sons of winners have no better adult outcomes (wealth, income, literacy) than the sons of nonwinners, and winners' grandchildren do not have higher literacy or school attendance than nonwinners' grandchildren. We can reject effects implied by the cross-sectional gradient of child outcomes by paternal wealth. This suggests only a limited role for family financial resources in the formation of human capital in the next generations in this environment and a potentially more important role for other factors that persist through family lines."
WOS:000346660500001,"We use administrative records on the incomes of more than 40 million children and their parents to describe three features of intergenerational mobility in the United States. First, we characterize the joint distribution of parent and child income at the national level. The conditional expectation of child income given parent income is linear in percentile ranks. On average, a 10 percentile increase in parent income is associated with a 3.4 percentile increase"
WOS:000336146600001,"The unit values of internationally traded goods are heavily influenced by quality. We model this in an extended monopolistic competition framework where, in addition to choosing price, firms simultaneously choose quality subject to nonhomothetic demand. We estimate quality and quality-adjusted price indexes for 185 countries over 1984-2011. Our estimates are less sensitive to assumptions about the extensive margin of firms than are purely ""demand-side"" estimates. We find that quality-adjusted prices vary much less across countries than do unit values and, surprisingly, the quality-adjusted terms of trade are negatively related to countries' level of income."
WOS:000793997100001,"We describe how sexual harassment contributes to sex segregation and pay inequality in the labor market. Combining nationally representative survey data and administrative data, we show that both harassment and wages vary strongly and systematically across workplaces. Women self-report more harassment from colleagues and managers in male-dominated workplaces where wages are relatively high, and men self-report more harassment in female-dominated workplaces where wages are low. These patterns imply two ways that harassment may contribute to gender inequality. First, harassment deters women and men from applying for jobs in workplaces where they are the gender minority. A survey experiment with hypothetical job choices supports this mechanism. Respondents are highly averse to accepting jobs in workplaces with a higher harassment risk for their own gender, but less averse when people of the opposite sex are at higher risk. A second way that harassment contributes to inequality is by making workplace gender minorities leave their workplaces for new jobs. An analysis of workplace transitions supports this mechanism. Women who self-report harassment are more likely to switch to new workplaces with more female colleagues and lower pay."
WOS:000764079400001,"We link newly digitized personnel records of the U.S. government for 1907-1921 to census data to study the segregation of the civil service by race under President Woodrow Wilson. Using a difference-in-differences design around Wilson's inauguration, we find that the introduction of employment segregation increased the black-white earnings gap by 3.4-6.9 percentage points. This increasing gap is driven by a reallocation of existing black civil servants to lower-paid positions, lowering their returns to education. Importantly, the negative effects extend beyond Wilson's presidency. Using census data for 1900-1940, we show that segregation caused a relative decline in the home ownership rate of black civil servants. Moreover, by comparing children of black and white civil servants in adulthood, we provide suggestive evidence that descendants of black civil servants who were exposed to Wilson's presidency exhibit lower levels of education, earnings, and social mobility. Our combined results thus document significant short- and long-run costs borne by minorities during a unique episode of state-sanctioned discrimination."
WOS:000672777600002,"We implement a new survey of firms, focusing on their higher-order macroeconomic expectations. The survey provides a novel set of stylized facts regarding the relationship between first-order and higher-order expectations of economic agents, including how they adjust their beliefs in response to a variety of information treatments. We show how these facts can be used to calibrate key parameters of noisy-information models with infinite regress as well as to test predictions made by this class of models. We also consider a range of extensions to the basic noisy-information model that can potentially better reconcile theory and empirics. Although some extensions like level-k thinking are unsuccessful, incorporating heterogeneous long-run priors can address the empirical shortcomings of the basic noisy-information model."
WOS:000593217300008,"How does an economy's production structure determine its macroeconomic response to sectoral distortions? We study a static, multisector framework in which production is organized in an input-output network and production decisions are distorted. Sectoral distortions manifest at the aggregate level via two channels: total factor productivity (TFP) and the labor wedge. We show that near efficiency, distortions have zero first-order effects on TFP and nonzero first-order effects on the labor wedge, and that a sufficient statistic for the latter are the Domar weights. We thereby provide a Hulten-like theorem for the aggregate effects of sectoral distortions. A quantitative application of the model to the 2008-09 financial crisis suggests that the U.S. input-output structure amplified financial distortions by roughly a factor of two during the crisis."
WOS:000489162800006,"We estimate the effect of minimum wages on low-wage jobs using 138 prominent state-level minimum wage changes between 1979 and 2016 in the United States using a difference-in-differences approach. We first estimate the effect of the minimum wage increase on employment changes by wage bins throughout the hourly wage distribution. We then focus on the bottom part of the wage distribution and compare the number of excess jobs paying at or slightly above the new minimum wage to the missing jobs paying below it to infer the employment effect. We find that the overall number of low-wage jobs remained essentially unchanged over the five years following the increase. At the same time, the direct effect of the minimum wage on average earnings was amplified by modest wage spillovers at the bottom of the wage distribution. Our estimates by detailed demographic groups show that the lack of job loss is not explained by labor-labor substitution at the bottom of the wage distribution. We also find no evidence of disemployment when we consider higher levels of minimum wages. However, we do find some evidence of reduced employment in tradeable sectors. We also show how decomposing the overall employment effect by wage bins allows a transparent way of assessing the plausibility of estimates."
WOS:000489162100005,"Large and regular seasonal price fluctuations in local grain markets appear to offer African farmers substantial intertemporal arbitrage opportunities, but these opportunities remain largely unexploited. Small-scale farmers are commonly observed to ""sell low and buy high,"" rather than the reverse. In a field experiment in Kenya, we show that credit market imperfections limit farmers' abilities to move grain intertemporally. Providing timely access to credit allows farmers to buy at lower prices and sell at higher prices, increasing farm revenues and generating a return on investment of 29%. To understand general equilibrium (GE) effects of these changes in behavior, we vary the density of loan offers across locations. We document significant effects of the credit intervention on seasonal price fluctuations in local grain markets, and show that these GE effects shape individual-level profitability estimates. In contrast to existing experimental work, the results indicate a setting in which microcredit can improve firm profitability, and suggest that GE effects can substantially shape microcredit's effectiveness. In particular, failure to consider these GE effects could lead to underestimates of the social welfare benefits of microcredit interventions."
WOS:000406177000009,"This study investigates how banks design financial products to cater to yield-seeking investors. We focus on a large market of investment products targeted exclusively at households: retail structured products. These products typically offer a high return under their best-case scenario-the headline rate-that is nested in a complex payoff formula. Using a text analysis of the payoff formulas of the 55,000 products issued in Europe from 2002 to 2010, we measure product headline rates, complexity, and risk. Over this period, product headline rates depart from the prevailing interest rates as the latter decrease, complexity increases, and risky products become more common. In the cross section, the headline rate of a product is positively correlated with its level of complexity and risk. Higher headline rate, more complex, and riskier products appear more profitable to the banks distributing them. Our results suggest that financial complexity is a by-product of banks catering to yield-seeking investors."
WOS:000401981500005,"I analyze the behavior of risk premia in financial crises, wars, and recessions in an international panel spanning over 140 years and 14 countries. I document that expected returns, or risk premia, increase substantially in financial crises, but not in the other episodes. Asset prices decline in all episodes, but the decline in financial crises is substantially larger than the decline in fundamentals so that expected returns going forward are large. However, drops in consumption and consumption volatility are fairly similar across financial crises and recessions and are largest during wars, so asset pricing models based on aggregate consumption have trouble matching these facts. Comparing crises to ""deep"" recessions strengthens these findings further. By disentangling financial crises from other bad macroeconomic times, the results suggest that financial crises are particularly important to understanding why risk premia vary. I discuss implications for theory more broadly and discuss both rational and behavioral models that are consistent with the facts. Theories where asset prices are related to the health of the financial sector appear particularly promising."
WOS:000365535400002,"A fundamental implication of standard moral hazard models is overuse of low-value medical care because copays are lower than costs. In these models, the demand curve alone can be used to make welfare statements, a fact relied on by much empirical work. There is ample evidence, though, that people misuse care for a different reason: mistakes, or ""behavioral hazard.'' Much high-value care is underused even when patient costs are low, and some useless care is bought even when patients face the full cost. In the presence of behavioral hazard, welfare calculations using only the demand curve can be off by orders of magnitude or even be the wrong sign. We derive optimal copay formulas that incorporate both moral and behavioral hazard, providing a theoretical foundation for value-based insurance design and a way to interpret behavioral ""nudges.'' Once behavioral hazard is taken into account, health insurance can do more than just provide financial protection-it can also improve health care efficiency."
WOS:000365535400006,"While human capital is a strong predictor of economic development today, its importance for the Industrial Revolution has typically been assessed as minor. To resolve this puzzling contrast, we differentiate average human capital (literacy) from upper-tail knowledge. As a proxy for the historical presence of knowledge elites, we use city-level subscriptions to the famous Encyclopedie in mid-18th century France. We show that subscriber density is a strong predictor of city growth after the onset of French industrialization. Alternative measures of development such as soldier height, disposable income, and industrial activity confirm this pattern. Initial literacy levels, on the other hand, are associated with development in the cross-section, but they do not predict growth. Finally, by joining data on British patents with a large French firm survey from the 1840s, we shed light on the mechanism: upper-tail knowledge raised productivity in innovative industrial technology."
WOS:000354733000010,"We develop a model of policy experimentation in federal systems in which heterogeneous districts choose both whether to experiment and the policies to experiment with. The prospect of informational spillovers implies that in the first best the districts converge in their policy choice. Strikingly, when authority is decentralized, the equilibrium predicts the opposite. The districts use their policy choice to discourage other districts from free-riding on them, thereby inefficiently minimizing informational spillovers. To address this failure, we introduce a dynamic form of federalism in which the central government harmonizes policy choices only after the districts have experimented. This progressive concentration of power induces a policy tournament that can increase the incentive to experiment and encourage policy convergence. We compare outcomes under the different systems and derive the optimal levels of district heterogeneity."
WOS:000354733000005,"Using a unique data set on students from the first regional schools in colonial Benin, we investigate the effect of education on living standards, occupation, and political participation. Since both school locations and student cohorts were selected with very little information, treatment and control groups are balanced on observables. We can therefore estimate the effect of education by comparing the treated to the untreated living in the same village, as well as those living in villages where no schools were set up. We find a significant positive treatment effect of education for the first generation of students, as well as their descendants: they have higher living standards, are less likely to be farmers, and are more likely to be politically active. We find large village-level externalities-descendants of the uneducated in villages with schools do better than those in control villages. We also find extended family externalities-nephews and nieces directly benefit from their uncle's education-and show that this represents a ""family tax,"" as educated uncles transfer resources to the extended family."
